family,mi,p_val,mi_null_mean
prosodic,0.1698829347166374,0.009900990099009901,0.007600158135296176
prosodic+combined,0.09943446717173823,0.009900990099009901,0.00732092435197331
spectral+prosodic,0.09709586524443274,0.009900990099009901,0.007419647180094196
mfcc+prosodic,0.09521981870342064,0.009900990099009901,0.00720846482424658
mfcc+prosodic+combined,0.09305277295221902,0.009900990099009901,0.007105340121830257
spectral+prosodic+combined,0.0924957142182634,0.009900990099009901,0.006998225877280173
combined,0.09114743959763046,0.009900990099009901,0.007568174370638094
mfcc+combined,0.08793459614259175,0.009900990099009901,0.007417620953238692
mfcc+spectral+prosodic,0.08744059170889512,0.009900990099009901,0.0075270257681032985
spectral+combined,0.08476186981392864,0.009900990099009901,0.007543797574093703
mfcc+spectral+combined,0.08435610124444368,0.009900990099009901,0.007225290075156713
mfcc,0.08372953724660127,0.009900990099009901,0.007571965185403504
mfcc+spectral,0.07714139588980562,0.009900990099009901,0.0077428637705719665
prosodic+chroma+combined,0.06808985353203227,0.009900990099009901,0.007417797757857048
mfcc+chroma+combined,0.06808496351208873,0.009900990099009901,0.007228367699504472
mfcc+prosodic+chroma,0.0611047356956031,0.009900990099009901,0.007370787780195446
chroma+combined,0.06106627714309217,0.009900990099009901,0.00732909493678479
spectral+chroma+combined,0.059892356479952356,0.009900990099009901,0.007307634757509681
mfcc+chroma,0.0524053441446628,0.009900990099009901,0.007226302982865185
mfcc+spectral+chroma,0.051988496365244476,0.009900990099009901,0.007499362227379193
spectral,0.04854445673626747,0.009900990099009901,0.007741551313605924
spectral+prosodic+chroma,0.04158881820306693,0.009900990099009901,0.007892913657193277
prosodic+chroma,0.040092603761660635,0.009900990099009901,0.007401724837559063
spectral+chroma,0.024482936001257536,0.009900990099009901,0.007185047351882741
chroma,0.018463943726210703,0.009900990099009901,0.007670241385687913
